City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,20/02/2015,140.3,241.9,33.8,36.1,68.8,6.4,33.8,101.5,41.0,20.1,43.5,7.5,588.0,Severe
Ahmedabad,21/02/2015,240.0,357.5,62.0,46.2,106.9,38.4,62.0,84.9,33.6,22.1,54.0,15.4,1141.0,Severe
Ahmedabad,22/02/2015,143.0,302.8,45.4,48.2,92.3,22.6,45.4,63.0,34.8,7.4,22.4,8.5,669.0,Severe
Ahmedabad,23/02/2015,238.4,445.9,77.7,55.1,131.3,23.1,77.7,89.1,37.3,50.6,163.6,28.5,1247.0,Severe
Ahmedabad,24/02/2015,118.7,182.9,12.6,32.0,42.6,6.2,12.6,61.5,38.8,16.9,46.5,6.0,411.0,Severe
Ahmedabad,25/02/2015,53.0,157.6,2.2,10.4,10.4,6.9,2.2,32.8,67.2,3.8,11.4,0.8,292.0,Poor
Ahmedabad,01/03/2015,61.1,126.9,3.6,16.8,20.9,9.4,3.6,28.4,30.5,2.7,1.6,1.3,183.0,
Ahmedabad,02/03/2015,60.8,139.2,9.1,18.2,27.3,13.6,9.1,29.5,34.8,2.0,0.6,0.2,189.0,Moderate
Ahmedabad,03/03/2015,91.8,177.8,13.0,28.7,40.8,16.3,13.0,39.7,38.5,2.7,1.7,2.2,408.0,Severe
Ahmedabad,04/03/2015,93.9,184.8,18.2,29.4,47.0,17.3,18.2,62.8,46.8,5.2,2.6,1.6,383.0,Very Poor
Ahmedabad,05/03/2015,173.0,347.4,48.4,42.3,90.7,9.6,48.4,78.8,59.4,9.7,10.0,4.1,780.0,Severe
Ahmedabad,07/03/2015,105.4,101.4,2.5,16.1,18.7,6.5,2.5,29.3,69.9,17.8,5.8,0.4,221.0,
Ahmedabad,08/03/2015,71.6,112.9,3.5,16.8,20.3,9.0,3.5,30.3,57.2,4.0,8.0,0.6,190.0,Moderate
Ahmedabad,09/03/2015,119.8,118.0,4.1,24.1,27.9,9.0,4.1,50.4,50.5,4.8,12.2,1.4,233.0,Poor
Ahmedabad,10/03/2015,106.7,146.7,5.4,25.6,30.5,7.4,5.4,38.8,60.2,5.6,14.2,1.7,297.0,Poor
Ahmedabad,11/03/2015,118.5,118.0,4.1,28.9,31.8,8.8,4.1,54.2,53.6,7.9,21.3,2.8,330.0,Very Poor
Ahmedabad,12/03/2015,106.0,162.6,4.3,27.3,30.5,11.5,4.3,70.3,40.9,9.4,15.5,1.7,252.0,Poor
Ahmedabad,13/03/2015,97.3,122.8,3.7,21.6,24.6,8.2,3.7,64.4,45.7,5.6,15.0,2.2,244.0,Poor
Ahmedabad,14/03/2015,83.9,178.5,6.4,25.0,30.8,6.9,6.4,67.5,34.9,8.2,21.5,3.1,234.0,Poor
Ahmedabad,15/03/2015,49.5,160.8,3.1,14.2,16.2,6.6,3.1,48.3,38.0,4.3,11.3,1.1,219.0,Poor
Ahmedabad,16/03/2015,30.8,82.7,2.7,14.1,17.0,8.3,2.7,43.6,54.8,3.6,9.4,0.8,118.0,Moderate
Ahmedabad,17/03/2015,50.3,104.9,5.3,29.8,33.3,17.8,5.3,59.2,45.4,5.4,15.1,1.6,231.0,Poor
Ahmedabad,18/03/2015,57.7,149.4,25.4,29.5,54.8,15.4,25.4,58.3,52.9,9.6,32.1,4.5,286.0,Poor
Ahmedabad,19/03/2015,105.1,227.7,46.2,37.0,82.2,9.1,46.2,53.6,45.6,20.9,75.4,12.7,883.0,Severe
Ahmedabad,20/03/2015,94.1,170.3,22.1,36.5,57.5,7.0,22.1,61.3,46.8,17.5,52.0,7.9,720.0,Severe
Ahmedabad,21/03/2015,111.9,197.2,22.2,43.3,64.5,12.8,22.2,66.4,50.6,18.0,56.9,8.9,570.0,Severe
Ahmedabad,22/03/2015,108.6,198.4,25.4,39.3,63.0,6.5,25.4,75.8,46.7,15.8,48.4,7.1,589.0,Severe
Ahmedabad,23/03/2015,130.8,200.5,45.6,41.0,85.8,6.8,45.6,65.8,41.6,24.1,85.3,12.6,818.0,Severe
Ahmedabad,24/03/2015,143.6,258.3,27.3,31.2,57.2,11.3,27.3,51.0,35.4,18.6,72.8,10.2,737.0,Severe
Ahmedabad,25/03/2015,165.1,168.8,23.8,34.5,57.7,6.9,23.8,64.3,43.8,29.1,64.0,8.5,585.0,Severe
Ahmedabad,26/03/2015,166.8,158.5,17.9,43.3,60.1,6.8,17.9,79.7,53.4,24.1,67.4,9.8,616.0,Severe
Ahmedabad,27/03/2015,147.4,257.6,6.4,35.8,40.2,22.8,6.4,46.9,17.9,14.2,41.9,5.7,437.0,Severe
Ahmedabad,28/03/2015,158.2,234.9,5.9,27.9,32.6,9.1,5.9,142.4,38.5,13.7,21.2,2.8,321.0,Very Poor
Ahmedabad,29/03/2015,237.8,149.5,5.0,21.8,25.4,7.3,5.0,96.3,39.8,8.7,15.0,1.3,372.0,Very Poor
Ahmedabad,30/03/2015,133.4,149.7,3.9,18.0,21.0,7.7,3.9,57.3,39.7,5.8,11.7,1.0,339.0,Very Poor
Ahmedabad,31/03/2015,133.3,193.6,6.5,20.0,26.2,5.9,6.5,51.6,59.0,9.9,21.1,2.3,339.0,Very Poor
Ahmedabad,01/04/2015,96.0,152.2,3.8,20.1,23.5,7.7,3.8,62.4,46.6,7.5,13.4,1.6,324.0,Very Poor
Ahmedabad,02/04/2015,77.7,171.9,5.2,18.9,23.1,6.7,5.2,100.5,27.1,9.5,11.8,1.6,222.0,Poor
Ahmedabad,03/04/2015,53.1,173.0,4.2,13.8,17.4,7.6,4.2,40.4,21.8,4.5,6.9,0.4,169.0,Moderate
Ahmedabad,04/04/2015,63.1,113.4,5.6,15.5,18.5,6.8,5.6,38.2,4.7,5.2,8.2,0.7,220.0,Poor
Ahmedabad,05/04/2015,156.8,150.7,3.9,16.7,21.0,6.6,3.9,26.3,37.1,3.9,10.8,1.0,298.0,
Ahmedabad,06/04/2015,121.0,155.2,4.2,20.9,25.0,7.4,4.2,35.5,35.7,6.0,15.8,1.7,303.0,Very Poor
Ahmedabad,07/04/2015,138.6,266.6,5.6,25.5,30.7,7.0,5.6,87.4,29.8,11.2,24.7,3.1,314.0,Very Poor
Ahmedabad,08/04/2015,144.4,289.0,15.8,30.7,46.1,6.8,15.8,66.4,27.3,17.2,49.6,7.7,378.0,Very Poor
Ahmedabad,09/04/2015,85.0,199.4,3.3,26.7,27.4,6.8,3.3,59.2,35.9,7.6,29.2,4.1,415.0,Severe
Ahmedabad,10/04/2015,134.6,195.5,5.9,26.3,28.7,13.1,5.9,34.5,7.0,0.0,0.0,0.0,310.0,
Ahmedabad,11/04/2015,61.1,112.5,3.5,14.0,17.6,5.8,3.5,8.1,19.5,0.0,0.0,0.0,126.0,Moderate
Ahmedabad,12/04/2015,39.4,73.2,5.3,19.6,24.7,27.2,5.3,17.7,31.3,0.0,0.0,0.0,175.0,Moderate
Ahmedabad,13/04/2015,111.9,195.1,3.9,22.5,25.2,9.7,3.9,15.8,31.2,0.0,0.0,0.0,226.0,Poor
Ahmedabad,14/04/2015,58.4,132.0,5.7,21.7,27.7,15.3,5.7,25.9,43.9,2.2,10.5,5.4,244.0,Poor
Ahmedabad,15/04/2015,95.4,222.6,18.0,26.2,44.3,29.0,18.0,13.6,41.6,1.2,3.3,20.8,315.0,Very Poor
Ahmedabad,16/04/2015,141.3,294.7,30.8,36.9,66.5,23.4,30.8,41.1,37.7,0.7,0.0,28.1,678.0,Severe
Ahmedabad,17/04/2015,106.7,192.5,19.9,46.4,54.8,30.0,19.9,31.6,48.5,1.7,0.0,16.0,774.0,Severe
Ahmedabad,18/04/2015,109.5,170.2,4.3,20.3,22.9,9.8,4.3,46.6,31.3,0.0,0.0,6.2,285.0,Poor
Ahmedabad,19/04/2015,126.0,208.1,7.0,20.2,26.8,8.9,7.0,79.6,28.7,0.2,0.0,6.4,321.0,Very Poor
Ahmedabad,20/04/2015,71.2,138.0,16.7,21.3,37.6,6.5,16.7,50.1,28.4,1.4,23.5,6.1,358.0,Very Poor
Ahmedabad,21/04/2015,97.9,158.1,6.3,18.0,23.4,44.4,6.3,13.8,34.2,0.2,4.9,3.0,357.0,Very Poor
Ahmedabad,22/04/2015,63.4,110.4,3.4,13.3,15.4,16.6,3.4,24.8,43.6,0.0,0.0,1.2,189.0,Moderate
Ahmedabad,23/04/2015,75.3,269.9,3.4,14.3,18.0,7.2,3.4,76.0,60.7,0.0,0.0,2.3,271.0,
Ahmedabad,24/04/2015,80.9,175.2,5.7,18.6,24.2,9.4,5.7,65.4,22.8,0.0,0.1,3.5,214.0,Poor
Ahmedabad,25/04/2015,103.3,179.3,4.6,19.8,23.7,9.8,4.6,85.4,22.2,0.1,1.2,2.6,253.0,Poor
Ahmedabad,26/04/2015,107.5,288.1,5.3,15.6,19.7,19.9,5.3,74.4,10.1,0.1,0.2,2.9,239.0,Poor
Ahmedabad,27/04/2015,161.1,265.7,3.1,14.8,16.1,8.1,3.1,118.4,59.7,0.0,2.6,0.0,389.0,
Ahmedabad,28/04/2015,102.6,188.1,3.9,12.7,16.8,6.7,3.9,41.9,26.9,0.0,6.4,0.8,255.0,
Ahmedabad,29/04/2015,138.4,189.2,5.0,16.7,21.6,9.4,5.0,77.7,27.2,0.0,0.9,2.0,300.0,Poor
Ahmedabad,30/04/2015,129.0,185.9,5.7,14.9,19.7,10.2,5.7,78.3,18.7,0.0,0.0,1.5,317.0,Very Poor
Ahmedabad,01/05/2015,96.6,154.6,4.7,15.9,20.5,23.2,4.7,39.4,11.8,0.0,0.0,3.1,240.0,Poor
Ahmedabad,02/05/2015,126.8,242.7,15.7,23.9,39.7,16.0,15.7,93.2,36.7,0.2,0.0,10.0,344.0,Very Poor
Ahmedabad,03/05/2015,106.2,236.9,13.1,23.0,35.0,8.7,13.1,66.0,81.6,0.3,0.0,9.7,503.0,Severe
Ahmedabad,04/05/2015,86.3,196.4,2.7,10.5,10.9,8.2,2.7,50.1,90.5,0.5,0.2,12.8,308.0,Very Poor
Ahmedabad,05/05/2015,84.0,105.1,2.7,0.1,2.8,5.5,2.7,34.1,69.6,0.3,0.0,9.0,227.0,Poor
Ahmedabad,06/05/2015,65.1,95.0,3.1,4.6,6.8,6.8,3.1,22.3,32.3,0.2,0.0,5.8,120.0,Moderate
Ahmedabad,07/05/2015,51.0,110.6,6.2,20.5,26.2,23.1,6.2,15.5,31.4,0.0,0.0,1.3,158.0,Moderate
Ahmedabad,08/05/2015,38.7,61.4,8.0,19.3,26.6,93.9,8.0,20.1,25.7,0.0,0.0,2.1,177.0,Moderate
Ahmedabad,09/05/2015,61.1,125.1,9.9,17.8,27.2,14.9,9.9,39.7,25.9,0.0,0.0,3.5,201.0,Poor
Ahmedabad,10/05/2015,58.4,268.9,10.7,17.2,27.4,18.2,10.7,54.7,18.9,0.0,0.0,1.4,211.0,Poor
Ahmedabad,11/05/2015,61.5,129.1,11.4,16.7,27.6,18.6,11.4,42.7,18.2,0.0,0.0,2.6,221.0,Poor
Ahmedabad,12/05/2015,65.4,173.4,12.3,16.1,27.9,6.4,12.3,28.0,22.4,0.0,0.0,2.3,233.0,Poor
Ahmedabad,13/05/2015,100.9,206.3,20.4,18.9,37.8,8.6,20.4,31.9,22.8,4.9,19.3,8.2,481.0,Severe
Ahmedabad,14/05/2015,97.5,204.7,5.3,30.0,33.6,22.8,5.3,36.0,16.3,10.6,34.9,3.8,352.0,Very Poor
Ahmedabad,15/05/2015,129.3,257.2,14.3,28.3,41.9,6.9,14.3,70.1,25.4,16.9,44.2,5.0,327.0,Very Poor
Ahmedabad,16/05/2015,129.6,266.3,21.2,28.8,45.4,9.0,21.2,17.7,34.4,20.5,85.7,11.6,577.0,Severe
Ahmedabad,17/05/2015,100.6,163.2,7.6,18.8,24.3,6.6,7.6,38.8,38.8,4.9,17.9,1.5,411.0,Severe
Ahmedabad,18/05/2015,130.3,208.9,7.1,17.4,23.7,6.8,7.1,52.1,29.0,5.0,14.0,1.3,212.0,Poor
Ahmedabad,19/05/2015,53.2,123.5,8.0,15.9,23.3,7.1,8.0,36.2,21.6,5.2,15.0,1.0,280.0,Poor
Ahmedabad,20/05/2015,42.0,75.0,10.4,18.2,21.8,41.9,10.4,17.0,25.5,0.0,0.0,0.0,162.0,Moderate
Ahmedabad,21/05/2015,50.1,171.5,9.5,14.9,22.5,22.7,9.5,30.7,12.9,0.4,1.9,1.4,246.0,
Ahmedabad,22/05/2015,83.7,143.1,10.9,17.2,27.2,6.5,10.9,41.1,35.6,12.6,20.2,17.8,569.0,Severe
Ahmedabad,23/05/2015,38.9,118.7,2.2,16.3,17.7,18.9,2.2,26.4,12.5,3.0,7.0,6.4,128.0,Moderate
Ahmedabad,24/05/2015,46.9,147.4,3.0,16.2,18.5,20.1,3.0,42.0,10.7,3.4,8.9,3.5,129.0,Moderate
Ahmedabad,25/05/2015,71.0,130.8,4.1,15.5,19.3,16.9,4.1,23.7,16.0,3.7,8.1,4.1,152.0,Moderate
Ahmedabad,26/05/2015,53.7,140.1,4.2,14.4,18.1,26.8,4.2,14.5,45.6,2.4,6.4,3.5,176.0,Moderate
Ahmedabad,27/05/2015,45.5,84.6,4.3,13.7,17.1,21.6,4.3,12.8,71.8,2.5,6.0,3.4,167.0,Moderate
Ahmedabad,28/05/2015,60.9,112.2,5.3,16.6,21.4,30.5,5.3,14.9,41.2,3.0,9.2,6.5,106.0,Moderate
Ahmedabad,29/05/2015,51.9,110.7,13.7,17.9,31.6,26.3,13.7,15.3,12.9,6.3,19.2,10.6,231.0,Poor
Ahmedabad,30/05/2015,77.9,132.7,6.7,17.1,23.0,9.8,6.7,46.8,16.7,4.8,9.8,5.1,327.0,Very Poor
Ahmedabad,31/05/2015,57.6,151.0,5.6,15.5,20.4,7.3,5.6,41.7,25.5,2.6,6.3,3.1,174.0,Moderate
Ahmedabad,01/06/2015,77.2,135.4,7.0,15.5,21.1,19.9,7.0,72.0,9.6,3.7,8.4,1.2,185.0,Moderate
Ahmedabad,02/06/2015,45.3,103.7,7.2,12.7,19.7,17.6,7.2,18.6,6.3,2.7,7.0,0.8,179.0,Moderate
Ahmedabad,03/06/2015,103.8,74.8,6.4,13.9,19.9,9.9,6.4,7.8,15.3,0.8,1.4,0.8,211.0,Poor
Ahmedabad,04/06/2015,25.1,105.3,6.0,18.7,24.7,9.4,6.0,38.0,38.5,0.0,0.0,0.0,192.0,Moderate
Ahmedabad,05/06/2015,87.0,193.4,8.0,17.9,25.5,8.0,8.0,23.8,48.2,0.0,0.0,0.0,310.0,Very Poor
Ahmedabad,06/06/2015,89.6,165.5,6.6,19.8,25.9,8.8,6.6,48.0,44.8,0.0,0.0,0.0,223.0,Poor
Ahmedabad,07/06/2015,80.7,146.0,6.9,16.1,22.2,8.7,6.9,39.8,32.6,0.0,0.0,0.0,192.0,Moderate
Ahmedabad,08/06/2015,44.8,88.5,7.8,16.5,24.3,38.6,7.8,9.9,8.1,0.0,0.0,0.0,191.0,Moderate
Ahmedabad,09/06/2015,38.1,55.9,7.4,11.6,19.0,6.2,7.4,3.1,6.7,2.5,5.9,0.7,184.0,Moderate
Ahmedabad,10/06/2015,45.5,70.7,8.6,15.6,24.2,6.3,8.6,0.8,3.8,5.1,8.5,1.8,220.0,Poor
Ahmedabad,11/06/2015,37.0,55.9,8.2,11.5,19.7,6.3,8.2,0.5,5.2,3.6,8.2,1.3,215.0,Poor
Ahmedabad,12/06/2015,43.6,59.4,8.3,13.3,21.6,29.7,8.3,1.0,7.6,3.6,6.8,1.5,226.0,Poor
Ahmedabad,13/06/2015,45.5,70.7,9.6,14.9,24.5,6.3,9.6,0.8,2.9,3.7,6.6,1.2,251.0,Poor
Ahmedabad,14/06/2015,38.1,106.2,8.7,18.6,27.2,4.8,8.7,1.0,4.6,2.8,5.1,0.7,216.0,Poor
Ahmedabad,15/06/2015,45.4,87.0,9.4,20.6,29.9,11.5,9.4,0.7,4.5,2.8,7.2,0.8,237.0,Poor
Ahmedabad,16/06/2015,37.7,67.0,8.5,16.3,24.8,6.3,8.5,0.9,4.6,2.5,7.6,0.8,198.0,Moderate
Ahmedabad,17/06/2015,32.4,41.8,7.5,14.4,21.9,47.0,7.5,2.2,12.2,1.9,7.9,0.7,195.0,Moderate
Ahmedabad,18/06/2015,34.7,67.4,7.6,13.5,21.1,50.0,7.6,4.1,12.2,1.8,6.2,0.5,187.0,Moderate
Ahmedabad,19/06/2015,32.6,59.6,7.3,13.9,21.2,47.0,7.3,4.0,11.8,2.6,9.3,1.0,181.0,Moderate
Ahmedabad,20/06/2015,29.3,45.0,7.6,11.7,19.2,18.2,7.6,4.0,12.6,1.6,7.0,0.6,179.0,Moderate
Ahmedabad,21/06/2015,20.5,44.4,7.2,10.6,17.8,17.3,7.2,5.6,12.7,1.3,5.2,0.3,188.0,Moderate
Ahmedabad,22/06/2015,26.1,49.8,8.0,11.1,19.1,19.4,8.0,4.1,10.6,1.5,6.9,0.6,190.0,Moderate
Ahmedabad,23/06/2015,21.4,34.0,7.4,11.2,18.6,10.5,7.4,5.0,7.4,1.4,6.7,0.8,185.0,Moderate
Ahmedabad,24/06/2015,11.9,50.2,7.3,10.1,17.4,26.1,7.3,10.9,5.5,1.3,12.2,0.7,189.0,Moderate
Ahmedabad,25/06/2015,57.8,46.9,8.7,9.7,18.4,12.4,8.7,12.3,3.1,2.0,6.5,0.7,196.0,Moderate
Ahmedabad,26/06/2015,66.4,52.1,8.6,12.8,21.4,18.9,8.6,11.1,5.0,1.8,6.2,0.6,201.0,Poor
Ahmedabad,27/06/2015,62.6,46.9,9.2,9.8,19.0,12.0,9.2,12.3,6.4,1.9,5.5,0.4,231.0,Poor
Ahmedabad,28/06/2015,47.5,58.3,8.1,9.5,17.6,9.7,8.1,13.9,7.3,1.3,4.0,0.1,196.0,Moderate
Ahmedabad,29/06/2015,111.8,27.7,9.2,11.5,20.7,6.2,9.2,5.3,6.0,1.8,5.7,0.3,220.0,Poor
Ahmedabad,30/06/2015,30.0,68.4,8.9,13.6,22.6,43.1,8.9,8.1,6.3,1.3,4.6,0.2,244.0,Poor
Ahmedabad,01/07/2015,4.7,38.1,9.0,10.9,20.4,6.2,9.0,7.3,6.4,1.3,3.9,0.1,223.0,Poor
Ahmedabad,02/07/2015,48.7,62.3,9.6,11.9,21.5,6.3,9.6,5.7,6.6,1.8,5.0,0.4,230.0,Poor
Ahmedabad,03/07/2015,49.7,61.9,9.4,9.8,19.2,6.3,9.4,6.8,6.4,2.0,4.8,0.3,243.0,Poor
Ahmedabad,04/07/2015,48.1,61.0,8.0,9.5,17.6,10.0,8.0,9.3,7.6,1.7,4.4,0.2,215.0,Poor
Ahmedabad,05/07/2015,47.4,59.5,8.1,9.4,17.6,10.6,8.1,7.9,7.1,2.1,3.6,0.1,199.0,Moderate
Ahmedabad,06/07/2015,51.7,65.1,8.9,12.4,21.3,19.7,8.9,10.0,5.8,2.2,3.6,0.3,200.0,Moderate
Ahmedabad,07/07/2015,42.7,55.2,9.7,11.1,20.8,7.4,9.7,10.9,4.4,1.6,5.0,0.4,226.0,Poor
Ahmedabad,08/07/2015,38.4,50.2,10.6,7.8,18.4,6.3,10.6,10.3,3.2,2.5,4.8,0.4,241.0,Poor
Ahmedabad,09/07/2015,46.7,74.2,11.5,0.2,11.6,17.2,11.5,10.2,5.8,1.8,4.3,0.2,222.0,Poor
Ahmedabad,10/07/2015,55.3,110.7,11.6,0.1,11.7,23.5,11.6,12.7,6.6,1.7,4.2,0.2,223.0,Poor
Ahmedabad,11/07/2015,149.0,99.1,11.5,0.2,11.6,22.3,11.5,10.1,7.3,1.7,5.7,0.2,248.0,Poor
Ahmedabad,12/07/2015,86.6,163.0,11.5,0.2,11.6,24.4,11.5,11.1,6.5,1.6,3.8,0.1,300.0,Poor
Ahmedabad,13/07/2015,111.8,186.9,11.3,0.2,11.5,13.3,11.3,7.7,4.7,1.7,4.5,0.2,232.0,Poor
Ahmedabad,14/07/2015,151.4,95.0,10.8,0.4,11.2,22.3,10.8,7.8,5.5,1.0,3.5,0.1,330.0,Very Poor
Ahmedabad,15/07/2015,51.4,96.0,8.0,2.7,10.7,20.6,8.0,10.0,5.8,1.5,4.3,0.4,223.0,Poor
Ahmedabad,16/07/2015,65.4,119.1,0.6,8.1,8.6,19.6,0.6,16.3,8.0,1.6,4.3,0.3,105.0,Moderate
Ahmedabad,17/07/2015,56.3,110.8,0.6,8.0,8.5,6.6,0.6,18.9,6.2,1.5,3.7,0.3,101.0,Moderate
Ahmedabad,18/07/2015,48.2,110.8,0.6,8.0,8.6,19.6,0.6,19.0,8.0,1.2,4.7,0.1,93.0,Satisfactory
